flight_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,inflight_entertainment,wifi_&_connectivity,value_for_money,recommended,flight_month,flight_year
5,Adria Airways,1.0,"""Had very bad experience""",2019-09-17,True,  Had very bad experience with rerouted and cancelled flights last weekend with Adria airways. Original Route was Ljubljana to Sarajevo return. Two weeks before i received an email that the flight was cancelled. Offered route change was Ljubljana to Sarajevo via Munich. Flight back changed to Sarajevo-Pristina-Ljubljana. I accepted. The first flight via Munich was ok. Two hours before the return flight I got the email that the flight was cancelled. I had to rebook via hotline and had to accept a flight with Croatian to Zagreb. I reached Ljubljana 4 h later and had to organize Transport from Zagreb to Ljubljana on my own cost. Do not book flights with Adria airways. I heard that their financial situation is very very bad.,CR 900,Couple Leisure,Economy Class,Sarajevo to Ljubljana,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,September,2019
7,Adria Airways,1.0,"""book another company""",2019-08-24,False,"  First of all, I am not complaining about a specific flight. I am a Lufthansa frequent Flyer and I normally fly the route Munich - Timisoara. This summer season Lufthansa offered the flights on this route to Adria Airways, as they are a star alliance member. I can only tell that I have the worst experiences with them. In over 90% of the cases they are late, they don't fly on time. Always they offer the same excuse: they have no slot free. This is an unacceptable excuse, as all other companies flying on similar coridors seem not to have this problem. In addition, as LH Cityline was operating these flights I have almost never heard this excuse, or had this problem. I am flying on this route for 6 years already. They started also to cancel some flights. Maybe combine 2 flights into 1 to spare some money, who knows. The cabin crew is decent - not wow, not bad - but there also also situations when the staff are really rude and not customer oriented. I would recommend anyone to fly with this company. If you have the chance, book another company!",Bombardier CRJ,Solo Leisure,Economy Class,Timisoara to Munich,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,August,2019
22,Adria Airways,8.0,"""seat was quite comfortable """,2017-01-27,False,"  Ljubljana to Vienna. After a fast boarding procedure the plane took off in time. The seat was quite comfortable although the cabin looked a bit nagged. Despite the fact that this was a regional flight, Adria Airways offered a Wifi service with good connection, an IFE system and free chat function amongst the passengers. A very friendly crew welcomed the passengers onboard and started their service which was pretty impressive for this 50 minutes flight. The business meal tasted great and we landed punctually in Vienna.",Canadair 700,Solo Leisure,Business Class,LJU to VIE,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes,December,2016
29,Adria Airways,6.0,"""staff were all pleasant enough""",2016-09-04,False,"Booked this flight after many years using Easyjet, got the flight at a very reasonable price, actually cheaper than easyJet. Flight outbound and inbound were ok and although departing slightly late, we arrived pretty close to scheduled time, outbound landing in Ljubljana was a bit rough. The staff were all pleasant enough and served complementary water, a small selection of other food and drink were for sale but some advertised items were not available. Seating is now a bit cramped with even less leg room than Easyjet, I am just 6' and my kness were toching the seat in front and were crushed further by the person in front moving and the person behind digging their knees into my back as thay wer oviosly struggling for room too. Much more cramped than the previous time I flew Adria over 10 years ago.",A319,Family Leisure,Economy Class,MAN to LJU,2.0,4.0,3.0,3.0,4.0,4.0,4.0,yes,September,2016
113,Aegean Airlines,1.0,"""Please keep up the excellent work""",2023-04-26,True,"  Aegean Airlines will remain always my first choice and my favorite airline. The best Airline in Europe without any doubt. Cabin crew are so helpful, patient and supportive. Please keep up the excellent work and I hope that Aegean will make long haul flights soon.",A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,5.0,5.0,5.0,5.0,3.0,4.0,5.0,yes,April,2023
118,Aegean Airlines,9.0,"""In Flight Service was nice""",2023-03-26,True,"  Boarding was on time but with buses, welcome was friendly and tentative. We departed on time. There was WiFi available on the flight and is free on Business Class. In Flight Service was nice and tasty. Breakfast was nice and coffee and mastiha drink was good (they omitted the chocolate stick that they supposed to offer)",A321NEO,Couple Leisure,Business Class,Athens to Frankfurt,4.0,5.0,5.0,4.0,4.0,5.0,5.0,yes,March,2023
119,Aegean Airlines,8.0,"""the crew was very friendly""",2023-03-21,True,"  The ground service was excellent. Onboard, the cabin was pretty spacious. The seats were kinda small, and the legroom was disappointing. The food was okay and the crew was very friendly. The Wi-fi and connectivity were excellent. Much respect for the airline.",A320,Family Leisure,Business Class,Athens to Berlin,2.0,4.0,3.0,5.0,4.0,5.0,5.0,yes,September,2022
149,Aegean Airlines,1.0,"""great flight and highly recommended""",2022-08-11,False,"  Smooth check- in procedure at a very busy Athens Airport. Polite and efficient staff on hand to assist. Boarded a clean and shiny A321 Neo, greeted by smiling and courteous crew. Full flight, on time departure, usual high standard of onboard service. Good and clear PA announcements from cockpit in perfect English. Toilets were very clean. Landed early, bags arrived on belt without any issue. Thanks Aegean, great flight and highly recommended.",A321 Neo,Business,Economy Class,Athens to London Heathrow,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,August,2022
154,Aegean Airlines,9.0,"""Professional service on-board""",2022-07-09,False,"  Athens Airport was extremely busy when I arrived. Proceeded to the Aegean Airlines check-in area which was manned by helpful staff and carried out self check-in. Met by polite staff at bag drop. Queues were starting to form at some counters, the one next to me was being held up by some irritating passengers who were questioning the baggage allowance for hand luggage. The Aegean website clearly states the weight permitted as do the various signs at check-in, yet some people pay no attention to this and continue to be rude and aggressive to check-in staff who are only doing their job, politely and professionally.  Boarded on time, full flight. Politely greeted at door by cabin crew. Professional service on-board. Landed early. Clear announcements from cockpit. Great flight. Recommended.",A321 Neo,Solo Leisure,Economy Class,Athens to London,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,July,2022
158,Aegean Airlines,9.0,"""Politely greeted at door""",2022-06-26,False,"  Aegean check-in at Istanbul Airport are the only desks with approachable staff who serve you with a smile. This airport is too big and very impersonal. Expensive Duty Free Shops and eateries Boarded on time, nice, clean aircraft. Politely greeted at door. Slightly delayed departure, short flight, only 50 minutes, drinks and snack served by professional crew. Landed on time. No issues. ",A320,Solo Leisure,Economy Class,Istanbul to Athens,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,June,2022
160,Aegean Airlines,7.0,"""Service was good and attentive as always with this airline""",2022-06-20,True,"  Early morning flight due to flight schedule changes (three months in advance notice). Flight JMK-ATH left early and arrived nearly 20 minutes ahead of schedule in Athens. Despite a nearly 2 hour connection, one of our priority tagged bags did not make it (together with 30 other bags) on the flight from ATH to CPH. It is quite impressive that Gold Air handling missed a whole trolley of bags. Flight to CPH was fine. Good service and quite nice new seats in Business Class (empty middle seat). Breakfast OK, not fantastic. Service was good and attentive as always with this airline. Bag trouble took 1 hour to register in CPH. Friendly service but took a while. One of our bags arrived on the wrong bag belt after us asking where it was. The other bag was left in Athens. Bag arrived following day late at night on a strange bag delivery service as I had to come down to the delivery truck and visually point at my bag. Strange and not very professional. Bottom line, poor to lose a priority bag in a two hour connection. And, by the way, I do not like the way this airline randomly pick on economy people to weigh their bags. In my opinion is either all or none. Not some poor people who has to face a huge cost because of one kg overweight hand luggage. What is really the point of upsetting people. The airline should know that if they write max 5kg hand luggage people will bring 10, if they write 8, they will bring 12. Build this in to the business model!",A320Neo,Couple Leisure,Business Class,Mykonos to Copenhagen via Athens,4.0,5.0,3.0,1.0,2.0,1.0,1.0,yes,June,2022
166,Aegean Airlines,9.0,"""my first choice to and from Greece""",2022-04-20,False,"  Had to reschedule my flight to Athens from London. Called the Aegean Customer Service line to do this. Lines were busy but didn't wait long. Call answered by very polite agent. I explained my situation about requiring my flight to be rescheduled and my onward connection within Greece. Agent did this and explained the process in excellent English. I paid the extra and booking was complete, no fuss, no bother. Flight was outstanding from start to finish, as usual. These are difficult times for everyone and we need a degree of flexibility. I am still shocked to see how rude and aggressive some passengers are to airline staff when travelling . Aegean is still my first choice to and from Greece, no airline is perfect but they are better than most.",A321 Neo,Solo Leisure,Economy Class,London to Athens,4.0,5.0,5.0,5.0,5.0,4.0,5.0,yes,April,2022
172,Aegean Airlines,1.0,"""Excellent service from start to finish""",2022-04-03,False,"  Check-in procedure carried out professionally by extremely polite and communicative staff. Hand luggage was checked to ensure compliance with Aegean 's terms and conditions which it did. Breezed through Passport control despite the terminal being quite busy. Ample and polite staff kept queues short. Aegean Airlines terminal was spotlessly clean with ample duty free shopping available. Amazing authentic Greek food products like Greek baklava, feta and extra virgin olive oils were on promotion. Had to buy some. Boarding was orderly and we were greeted at aircraft door by immaculately dressed cabin crew. I am always impressed by how professional Aegean Airlines cabin crew are. They put Turkish Airlines crews to shame. On time departure with on board service of drinks and meal again served in a very professional and polite manner with a smile. Duty free trolley appeared after the meal service. Smooth flight, landed 20 minutes early. Excellent service from start to finish. Thoroughly recommended.",A320 NEO,Solo Leisure,Economy Class,Athens to London,4.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,March,2022
173,Aegean Airlines,1.0,"""it is clear that they are in a steep decline""",2022-04-01,True," Both me and my wife are frequent business travelers and Gold Miles & Bonus members. Aegean Airlines started off as a promising, refreshing presence in the Greek market but it is clear that they are in a steep decline. We've experienced such poor customer service in the last several years on a number of occasions. Refunds that took 18 months and countless calls and e-mails to process (for flights that Aegean Airlines canceled). Missed connections due to flight delays where they failed to assist us to reach our destination or arrange overnight accommodation for us. We were asked to cover the expenses on our own and then submit the receipts to receive compensation. We've taken trips where we were asked to pay service fees to change Comfort Flex and Business Class tickets. These two categories are their most unrestrictive fares and allow same day changes without a penalty, yet on a number of occasions, when their website failed to successfully change our tickets, we were asked to pay a service fee to proceed with the change. I could go on and on with a number of other disappointing practices but all in all, it seems that they've adopted policies and restrictions that we only find present with the so called low-cost carriers. All while charging full service carrier regular fares. Until they re-adjust their policies to a more customer service oriented level, we will certainly avoid flying with them in the future. Enough is enough.",A320,Business,Economy Class,Athens to Santorini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,April,2022
175,Aegean Airlines,9.0,"""Good trip, recommended""",2022-02-21,False,"  LHR - ATH. Check-in was polite, professional and quick. Great selection of Duty-free shops and eateries in T2. Boarding was orderly and greeted at aircraft door by polite and immaculately dressed cabin crew. On time departure, clean aircraft inside and outside. Seats are comfortable with adequate legroom. Drinks service and snack served. Attentive crew. Toilets at rear of plane in Economy were clean. Smooth flight, landed early. Good trip, recommended.",A320 NEO,Solo Leisure,Economy Class,London to Athens,4.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,February,2022
176,Aegean Airlines,6.0,"""overall experience is very pleasant""",2022-02-20,False,"  Staff are friendly and the overall experience from ground and cabin crew is very pleasant. Families were given priority when flying from Athens and luggage is usually checked in at no cost (if within size/weight limit). Seats are fairly tight, as expected, but overall pretty comfortable. Planes are new with USB charging on board and if you are lucky, a basic on-board wi-fi streaming service. Food quality is really bad, a tiny cold sandwich, served in a very environmentally-unfriendly card box. Drinks choice is OK. The part that lets this airline down is cleanliness. I expect a spotless cabin, only to find carpets are dirty, which is surprising for a brand new plane, seats have no headrest cover and toilets the worst I have ever seen on a plane.",A320 neo,Family Leisure,Economy Class,Athens to London,2.0,4.0,2.0,5.0,1.0,1.0,2.0,yes,February,2022
184,Aegean Airlines,7.0,"""The biggest letdown are the seats""",2021-10-10,True," On this trip they used a A320neo which is noticeably quieter then the regular one. The all female cabin staff was acting friendly and efficiently. We received a lunchbox consisting of a sandwich and a tasty honey-sesame cookie. A limited range of drinks was served as well. They use the airfi on-board WiFi system for games, news, real-time map etc. The biggest letdown are the seats, with an incredibly tight pitch. Even the ones at Wizz Air have more legroom.",A320 neo,Solo Leisure,Economy Class,Athens to Munich,3.0,4.0,4.0,4.0,4.0,4.0,5.0,yes,October,2021
192,Aegean Airlines,1.0,"""Efficient, friendly service""",2021-09-04,False," Larnaca to London Heathrow via Athens. Efficient, friendly service. Check-in at Larnaca was efficient and quick and all docs were checked with professionalism. Bags tagged all the way to Heathrow and boarding passes were given for both flights. Perfect on-board service, as always, for both flights. Would highly recommend this airline and would definitely choose them as my first choice when booking even if this involves a transfer at Athens International Airport. We’ll done Aegean Airlines.",A321,Solo Leisure,Business Class,Larnaca to London Heathrow via Athens,3.0,5.0,4.0,5.0,3.0,4.0,4.0,yes,September,2021
201,Aer Lingus,2.0,"""staff are very rude and unprofessional""",2023-07-01,False,  The staff at Dublin airport are very rude and unprofessional. I was 3 hours early for my flight from Dublin to New York. I needed help at the Dublin airport. I asked 5 different Aer Lingus staff for help and was told 5 different answers. I even spoke to a supervisor who was the worst of all the staff. In the end I missed my flight and had to reschedule. For Dublin to be the home hub for this airline they were the worst people to deal with. The hub in New York at JFK airport was must nicer and professional. The WIFI did not work in the plane and only half of the screens worked. The plane staff even made an announcement about the screens freezing up while watching a movie. The lady in the seat in front of us had a broken seat. It only reclined.,A330,Couple Leisure,Economy Class,Dublin to New York,2.0,4.0,4.0,1.0,1.0,1.0,3.0,no,June,2023
209,Aer Lingus,1.0,"""ashamed and embarrassed""",2023-06-18,True," A lovely flight from Dublin to San Francisco - could not fault it. Things went rapidly downhill after that, and Aer Lingus complete lack of regard for paying customers became all to apparent. Our luggage went missing and Aer Lingus have been rude and unhelpful. As a customer I am so disappointed in the customer service provided by my national airline. As an Irish person I'm ashamed and embarrassed to think that other people may be subjected to this treatment. This is not the image I want my national airline to be portraying of Ireland and Irish people. We have a short six day holiday in San Diego; Day 1 is now gone because of Aer Lingus complete and total lack of regard and concern for paying customers. We paid €2808.50 for our flights (2 people) and it is disgusting to think that once they got our money they no longer care. Shame on you Aer Lingus.",A330,Solo Leisure,Economy Class,Dublin to San Francisco,3.0,5.0,5.0,1.0,3.0,1.0,1.0,no,June,2023
211,Aer Lingus,7.0,"""would certainly use them again""",2023-06-14,True," Our outbound flight was excellent with no issues and on 10 June for our return flight, I have one big issue and some niggles. For the whole flight, the cabin crew locked off one of the two available toilets. There was nothing wrong with it as the cabin and flight crew used it. Keeping a toilet exclusively for crew use is, in my view, unacceptable. The seat on the A330 is comfortable and I had the best 4 hours of continuous sleep I have ever had in the air. The food offering was, for me, poor except for the snack just after take off with the first drink service. It comprised a pack of five mini, savoury biscuits and a little tub of onion chutney to dip, both of which were delicious and very different from the nuts or pretzels others offer. On the outbound flight, we were offered the traditional juice or champagne prior to take off but no attempt was made to offer this on the inbound flight. The Asian-style beef at dinner had little of the Orient about it. I didn't try the dessert or either of the starters. IFE was available but very limited choice compared to many other carriers. Finally the complimentary wi-fi was somehow not available on this leg but you could pay. Outbound no problem a voucher was given shortly after boarding. Okay, quite a bit of whinging there, and apart from the very comfortable seat the only other positive was that despite delayed take off on both legs the plane arrive on time or a little early. I would certainly use them again for this route though as too few Manchester to the USA options are available.",A330,Couple Leisure,Business Class,New York JFK to Manchester,5.0,4.0,3.0,5.0,2.0,1.0,4.0,yes,June,2023
212,Aer Lingus,2.0,"""Never again will I fly Aer Lingus""",2023-06-14,True,"  We booked a ten-day tour of Ireland thru Trafalgar Tours. The tour started 19 May 2023. We wanted to arrive early and see some of Dublin before the tour started so we booked an Aer Lingus flight from Orlando Florida to Dublin on the 17th of May. Our flight was due to depart at 8:30 PM and arrive in Dublin at 9:30 AM on the 18th of May. (Aer Lingus Flt. 120). We were told that the incoming equipment had been delayed and that we would depart at 9:30 PM. The incoming aircraft arrived shortly after 9 PM followed by a fire truck! We were told we would depart at 10;30 then, 11:30. this went on till 2 AM on the 18th. They said the flight was canceled, but we would be boarded in the morning as soon as the aircraft was repaired. Imagine 300 people scrambling to get their checked luggage and make their way to the check in desk to get a hotel voucher (we found out that they booked the hotel rooms at 9:00 PM that night), madness. We got to the hotel at 4:30 AM. We had three hours sleep and returned to the airport to see if our plane had been repaired, it hadn't. we were told we would be boarding Aer Lingus flight 34 for Manchester, England at 5:45 PM. We arrived in Manchester at 7:20 AM on the 19th of May. Our connecting flight (Aer Lingus 3327) to Dublin did not leave till 5:45 PM that night. We arrived in Dublin at 6:40 PM. We arrived 33 hours late. We had paid for a hotel room in Dublin for the night of the 18 that we didn't get to use, and we missed the complete first day of our tour. We filed a claim with Aer Lingus for $ 600 each for me and my wife per EU rules. We also asked for $220 for the hotel room we had paid for, $174 for meals and $800 for the first day of the tour that we missed out on. They have offered us $147 in total compensation although they are responsible for our losses. Never again will I fly Aer Lingus or say a good word about them. ",A330,Family Leisure,Economy Class,Orlando to Dublin,3.0,4.0,4.0,3.0,4.0,4.0,2.0,no,May,2023
221,Aer Lingus,1.0,"""our luggage has not been located""",2023-05-23,False," There are lots of choices when booking a flight. We happened to be celebrating a milestone wedding anniversary and booked a trip to Italy. The flight itself was fine. We arrived at the airport in Naples and were the only passengers on a flight of 300+ people to be standing at the baggage carousel when it shut down because all the bags had been picked up by the passengers except for us. Our bags were missing. So now we head over to the missing baggage window and fill out a missing baggage claim form. This is Sunday morning. We make our way to the hotel with the clothes on our back for a week long stay to celebrate our anniversary not sure where our luggage is. We are tired. We have been on two flights for 10 hours. We wake up the next morning and put on the same clothes we arrived in to get breakfast. Never mind that there are new outfits in our luggage that we purchased for this trip that are floating around somewhere. After calling Aer Lingus multiple times and being told our luggage is out for delivery, we logged on to their missing baggage website only to learn our luggage has not been located yet in spite of Aer Lingus agents lying and telling us on the phone our bags were on the way. Was this so we wouldn’t go out and purchase necessary items to change into to keep Aer Lingus lost baggage costs lower. We are now in our 3rd full day in Italy and Aer Lingus still stands by their claim that one bag is out for delivery, when the truth of the matter is they can’t specify where it is en route. This saga will probably continue for us long after we depart Italy in two days. To add insult to injury, Aer Lingus cannot tell us what is acceptable and necessary that we can purchase while we wait hopelessly for our luggage. Talk about being given the run around, reading from a computer screen that the bags are in route, escalating our calls to supervisors who only read the same script on a screen. My Advice to Everyone out there - DO NOT BOOK YOUR FLIGHT through Aer Lingus if you value the peace of mind that you are entrusting a company that values it’s customers and will make a sincere effort to correct an error in a timely and honest manner. Let’s face it, a lot of people are like us, we don’t travel all the time, we spent thousands of hard earned dollars, and to be in Europe for going on four days in the same skivvies we arrived in should not be tolerated by customers - so book with another airlines if you value peace of mind.",A330,Couple Leisure,Economy Class,Boston to Naples via Dublin,3.0,4.0,4.0,1.0,1.0,1.0,3.0,no,May,2023
225,Aer Lingus,3.0,"""I felt like I was in economy""",2023-05-17,True," Never again. Paid megabucks for business class. No welcome on board drinks, e.g. champagne, orange etc offered. No drinks trolley coming round offering drinks throughout the flight, the only drink I was offered was with my meal. No duty free offered. No food came around until about one hour into the flight, it seemed as though they heated one meal at a time. Slow is an understatement. On our outward flight, of the 30 seats in business class, there were only 13 seats occupied, yet I still could not have the meal I wanted as they had run out? Food was bland and uninteresting. The staff seemed to be just doing as little as possible, not interested, not friendly at all to anyone really. Got a code for free wifi in Business Class, it did not work, so no free wifi. At JFK when we were boarding our flight, which was delayed by an hour and forty minutes, a ground crew member attempted to open the barrier to allow economy class ticket holders with buggy/prams to board before anyone else did, until another staff member told her that business class passengers should be boarding first. Apart from the roomy and comfortable seat, I felt like I was in economy. Note to Aer Lingus....take some lessons from Virgin and BA, they are not brilliant but miles better compared to the joke that is Aer Lingus. I will not be flying in business or any other seats with them ever again.",A330,Business,Business Class,Manchester to New York JFK ,3.0,2.0,2.0,2.0,3.0,1.0,2.0,no,May,2023
228,Aer Lingus,1.0,"""Cabin crew and boarding team are not professional""",2023-05-10,True," Crew in the airport were not helpful at all, I arrived to the airport 1h before my flight on 10/5/2023 because of an emergency, but the Aer Lingus boarding staff in Dublin airport terminal 2 didn’t understand or try to help even though I had no bag to check in, basically all I had to do is to head directly to the plane, but he didn't want that to happen. I had to pay 300GBP extra to buy a new ticket and the new flight got delayed. Cabin crew and boarding team are not professional at all, rude and not helpful. Not recommend at all and you can‘t compare them with any other respected air lines like Emirates or Qatar.",A320,Solo Leisure,Economy Class,Dublin to London,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,May,2023
240,Aer Lingus,1.0,"""shockingly bad customer service""",2023-01-08,True,"  From the moment we purchased tickets, we had the most shockingly bad customer service. Be aware: you can do nothing online, including book or change seats and must call Customer Service for everything. They do not respond to emails, customer service is outsourced to overseas Indian or Eastern European countries where some do not speak English well enough to answer your query. They always say you have to email but you never receive a response (this after 24 emails over 3 mths and no responses). We flew business and they ran out of food. They offered economy meals. Flight attendants clearly did not like their jobs. The food (when you did manage to get any) was horrible and it was next to impossible to get a second drink, even water. Finally, we arrived in SFO to hear my husband's name called - they put my bag on the flight from Dublin but not his. We were leaving and checked through from Paris. They promised it would arrive next day, next flight. 10 days later it is still listed as tracking and in Dublin. We phoned several times to be told it was still in Dublin as far as they could see. We went several times to the airport and checked Lost Luggage -also finally went a 3rd day to see the same flight coming in and found a helpful man on security who phoned around. He left to go to an 'office' and came out with our bag. Fully tagged. It is still listed as 'being tracked'. We have contacted Aer Lingus to advise this but still listed as being in Dublin. . This has been one of the most horrible airlines we have ever flown.",A330-300,Family Leisure,Business Class,Paris to San Francisco via Dublin,2.0,1.0,1.0,1.0,2.0,2.0,1.0,no,December,2022
241,Aer Lingus,4.0,"""notorious for losing people’s luggage""",2023-01-07,False,"  Aer Lingus have lost my luggage, not once, not twice, but 3 times! All 3 times I have flown on them from Washington DC to Glasgow, they have lost my luggage while transiting Dublin. I arrived in Glasgow on Wednesday morning, and I still haven’t received my luggage today, 4 days later. I leave the UK on Thursday 1/12. Just ridiculous, when I call the number for missing bags, I got through to a woman who was completely unhelpful and vague as ever. She told that my bags were out for delivery and have been out for delivery for 24 hours now, and they still haven’t arrived. Aer Lingus are notorious for losing people’s luggage",A321,Solo Leisure,Economy Class,Washington to Glasgow via Dublin,4.0,4.0,4.0,3.0,5.0,2.0,4.0,no,January,2023
251,Aer Lingus,3.0,"""cabin crew are just awful""",2022-11-13,False,"  Having had our fight cancelled from Shannon on the 19th Nov 2022, we flew from Dublin the following day. Aer Lingus were very good about the cancellation and looked after us well though communication was not great following the cancelled flight. The cabin crew served the most awful food I have ever had on a flight. The chicken meal I asked for was only lukewarm and since I didn't want to risk being ill on my holiday I decided not to eat it. Later they served coffee, I asked a cabin crew member for sugar and he completely ignored me, I assumed he didn't hear me and repeated my request, he immediately said I am dealing with something in a rude and aggressive manner, I was so embarrassed, even the people sitting next to me remarked on him. We flew back to Ireland on the 28th October on the 18.55 flight. We got a cereal bar and orange juice for breakfast, my husband asked for coffee following breakfast and was told that the captain said coffee was not to be served due to turbulence! We were certainly not advised about turbulence. We will never fly Aer Lingus again if we can possibly avoid it. Terrible. The cabin crew are just awful, rude and have complete disregard their captive customers!",A330,Family Leisure,Economy Class,Dublin to Boston,4.0,1.0,1.0,3.0,3.0,4.0,3.0,no,November,2022
256,Aer Lingus,1.0,"""nothing like the old Aer Lingus I loved flying""",2022-10-18,True,"  I booked and purchased tickets for an Aer Lingus trip in October 2021. BOS-SNN-LHR June 15 22 Returning from Paris CDG-DUB-BOS on June 28 22. The outward flights were uneventful. usual 30min delay in Boston, poor quality food in coach. I liked the new A321NEO to Shannon much more comfortable than the old 757. However the return was hell. We arrived at the counter at CDG to total chaos after waiting in line for an hour we got to to an agent a contractor (Swissport?) she told us we didn't have a reservation so I gave her our number she then said the BOS flight is cancelled. But I pointed out that the previous customer is on the same flight and they got passes for both flights. She then said our reservations were cancelled by Aer Lingus and we would have to make our own arrangements to get home. I asked for the duty Manager who told me the same thing and suggested I call customer service. I made her call customer service and she got us on a BA to LHR and AA to BOS the next day. But No hotel or meals. I had to find a hotel on my own using a tablet on airport wifi. When we got back I submitted a claim for EU261 Compensation with Aer Lingus on July 1 Ref #8333779. I got an Ack for this the next day and have heard nothing since although I have inquired of status several times by Email. eventually I got thru to someone who said they are still working on the issue and to expect to hear soon - this was on Sept 30-still waiting. I have a Vacation home in Kirush Clare Ireland So i guess I will be using Delta or Icelandair in future. In conclusion you have to be crazy to fly this airline. They are definitely nothing like the old Aer Lingus I loved flying.",A321NEO,Family Leisure,Economy Class,Boston to London via Shannon,4.0,4.0,2.0,2.0,4.0,3.0,3.0,no,June,2022
269,Aer Lingus,1.0,"""I'm not using this airline again""",2022-09-15,True,"  Never again. I fly every week & I'm not using this airline again. My 3.20pm flight has still not left & it is now 5.36pm. The engines have not started up yet & the communications have been appalling on the continued delays all afternoon! I had booked assistance, and stupidly thought, it would not be required as it’s such a short flight. I’m now in agony, very stressed & not so much as an apology from the Airline. I’ll be taking my regular business travel elsewhere.",Emerald,Business,Economy Class,Dublin to Birmingham,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,September,2022
